0.0,2.0
0.002,1.9979445667
0.004,1.9958881663
0.006,1.9849991924
0.008,1.9697047492
0.01,1.9522374342
0.012,1.9394413101
0.014,1.9059557169
0.016,1.8656934492
0.018,1.8460587867
0.02,1.880013325
0.022,1.831486215
0.024,1.7952015716
0.026,1.8153894558
0.028,1.6803630297
0.03,1.6235269023
0.032,1.6378022347
0.034,1.6180987344
0.036,1.603255475
0.038,1.513198599
0.04,1.4032745891
0.042,1.5407013664
0.044,1.3222994251
0.046,1.2701406232
0.048,1.2655537285
0.05,1.3588835196
0.052,1.2326543164
0.054,1.2807225448
0.056,1.3287747507
0.058,1.2045189687
0.06,1.1578619083
0.062,1.0660359748
0.064,1.1919701107
0.066,1.1462834859
0.068,1.092387281
0.07,1.1958293463
0.072,1.0597540223
0.074,1.1013031264
0.076,1.0243103704
0.078,1.0151842121
0.08,1.0201390095
0.082,0.9065026868
0.084,1.2116268594
0.086,1.089346349
0.088,1.0297120574
0.09,1.0284093927
0.092,1.0403593214
0.094,1.0467065603
0.096,0.9665151703
0.098,1.0489571899
0.1,1.0270820798
0.102,1.0684803187
0.104,1.1081045092
0.106,0.8823857337
0.108,0.8458652057
0.11,0.8363817118
0.112,0.7696858183
0.114,0.9553858219
0.116,0.954684493
0.118,1.0653653676
0.12,0.9306275418
0.122,0.9987710124
0.124,1.1791147766
0.126,0.976711622
0.128,1.2386011621
0.13,1.0402072908
0.132,1.1686783955
0.134,0.9926532787
0.136,1.0647063083
0.138,1.0174926261
0.14,0.9440722505
0.142,0.797490526
0.144,0.8243000197
0.146,1.0630320984
0.148,0.9151384613
0.15,1.0346332624
0.152,1.085771258
0.154,1.009524925
0.156,0.9350727542
0.158,1.1216094365
0.16,1.2198562009
0.162,0.8561571293
0.164,0.9304780225
0.166,0.9192709273
0.168,0.9552936914
0.17,0.8896236205
0.172,0.9098888475
0.174,1.0395689209
0.176,1.1440111882
0.178,1.0375843196
0.18,1.0371102221
0.182,0.8118744243
0.184,1.0256031391
0.186,0.8959412239
0.188,1.0378740351
0.19,1.2755438243
0.192,0.9386921763
0.194,1.1459391238
